Task,Family,Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Accuracy_mean_std,F1_mean_std,SourceFile
Binary (2-class),DL,UNet1D,0.9639803670983726,0.057990422823323486,0.9636921055308307,0.0589305060129,0.9640 +/- 0.0580,0.9637 +/- 0.0589,dl_loso_unet1d_2cls_20260515_005433.json
Binary (2-class),DL,CNN1D,0.9306473831445082,0.0786978567088626,0.9316273536870753,0.07771496430386665,0.9306 +/- 0.0787,0.9316 +/- 0.0777,dl_loso_cnn1d_2cls_20260515_005101.json
Binary (2-class),DL,ResNet1D,0.9205245206484247,0.08025508991850433,0.918287080923877,0.08334095418978456,0.9205 +/- 0.0803,0.9183 +/- 0.0833,dl_loso_resnet1d_2cls_20260515_010603.json
