Task,Family,Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Accuracy_mean_std,F1_mean_std,SourceFile
Binary (2-class),ML,AdaBoost,0.9710149421224121,0.048532085136675805,0.9714917453925985,0.047400508123385865,0.9710 +/- 0.0485,0.9715 +/- 0.0474,loso_20260513_222617.json
Binary (2-class),ML,RandomForest,0.9691469013737745,0.04906515771553891,0.9694928723698812,0.048148643717007604,0.9691 +/- 0.0491,0.9695 +/- 0.0481,loso_20260513_222617.json
Binary (2-class),ML,SVM,0.9662770899124138,0.05603437178636831,0.9669016867013741,0.05455217013611981,0.9663 +/- 0.0560,0.9669 +/- 0.0546,loso_20260513_222617.json
Binary (2-class),ML,LogisticRegression,0.9661789326012329,0.05749176579972961,0.9647326489726624,0.06198028260619073,0.9662 +/- 0.0575,0.9647 +/- 0.0620,loso_20260513_222617.json
Binary (2-class),ML,KNN,0.954795182174895,0.06072610400636085,0.9545366402893039,0.06127265821259399,0.9548 +/- 0.0607,0.9545 +/- 0.0613,loso_20260513_222617.json
Binary (2-class),ML,LDA,0.9511788668472316,0.06904485048535267,0.9496988349521769,0.07235101729447992,0.9512 +/- 0.0690,0.9497 +/- 0.0724,loso_20260513_222617.json
Binary (2-class),ML,DecisionTree,0.8650174768246589,0.1720343475552495,0.8612443595256549,0.183138056346444,0.8650 +/- 0.1720,0.8612 +/- 0.1831,loso_20260513_222617.json
