Task,Family,Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Accuracy_mean_std,F1_mean_std,SourceFile
Tri-class (3-class),DL,UNet1D,0.8955136627327455,0.055051031666008186,0.883916118184594,0.07026585025057942,0.8955 +/- 0.0551,0.8839 +/- 0.0703,dl_loso_unet1d_3cls_20260515_011411.json
Tri-class (3-class),DL,CNN1D,0.8555708585725651,0.12263217815569853,0.8524150695230992,0.12107645708622022,0.8556 +/- 0.1226,0.8524 +/- 0.1211,dl_loso_cnn1d_3cls_20260515_011059.json
Tri-class (3-class),DL,ResNet1D,0.7859214870401482,0.15369639858993686,0.7670826378260854,0.16279310593439855,0.7859 +/- 0.1537,0.7671 +/- 0.1628,dl_loso_resnet1d_3cls_20260515_012605.json
